XAUUSD M30 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
02-10 07:00|5067.96|5075.61|4987.25|5023.75
02-10 07:30|5023.14|5041.96|5013.53|5031.78
02-10 08:00|5031.77|5048.34|5031.68|5034.05
02-10 08:30|5034.10|5040.79|5008.77|5018.84
02-10 09:00|5018.69|5037.64|5012.35|5017.44
02-10 09:30|5017.00|5035.56|5015.05|5032.97
02-10 10:00|5033.23|5056.34|5031.69|5047.12
02-10 10:30|5047.54|5052.76|5034.63|5038.25
02-10 11:00|5038.12|5038.12|5016.59|5021.80
02-10 11:30|5021.68|5031.73|5017.60|5030.10
02-10 12:00|5030.03|5030.94|5017.36|5027.26
02-10 12:30|5027.23|5033.96|5021.98|5031.65
02-10 13:00|5031.65|5035.48|5011.12|5018.84
02-10 13:30|5019.27|5040.45|5013.01|5039.65
02-10 14:00|5039.54|5045.48|5030.47|5031.80
02-10 14:30|5031.64|5039.13|5019.23|5024.66
02-10 15:00|5024.60|5034.31|5018.67|5025.08
02-10 15:30|5025.07|5035.98|5024.86|5033.80
02-10 16:00|5033.14|5041.19|5028.80|5035.43
02-10 16:30|5035.45|5055.05|5034.04|5041.79
02-10 17:00|5041.77|5063.29|5040.61|5052.46
02-10 17:30|5052.45|5053.43|5042.05|5046.57
02-10 18:00|5046.59|5052.64|5036.92|5047.66
02-10 18:30|5047.65|5058.23|5043.87|5046.94
02-10 19:00|5046.88|5052.90|5044.30|5047.65
02-10 19:30|5047.65|5057.39|5044.93|5056.16
02-10 20:00|5056.17|5057.19|5040.95|5046.30
02-10 20:30|5046.49|5047.88|5019.54|5032.15
02-10 21:00|5032.26|5046.32|5026.84|5037.81
02-10 21:30|5037.97|5058.40|5037.97|5051.01
02-10 22:00|5051.51|5074.62|5046.49|5070.08
02-10 22:30|5070.15|5078.54|5020.69|5039.65
02-10 23:00|5037.96|5047.81|5028.94|5033.00
02-10 23:30|5032.23|5037.20|4999.04|5019.63
02-11 00:00|5019.63|5024.39|5005.51|5009.98
02-11 00:30|5009.98|5026.63|5008.36|5023.69
02-11 01:00|5023.71|5039.11|5020.74|5036.55
02-11 01:30|5036.53|5040.14|5025.03|5026.35
02-11 02:00|5025.60|5027.96|5004.81|5008.28
02-11 02:30|5008.76|5017.19|5005.06|5013.28
02-11 03:00|5013.31|5021.49|5008.71|5021.01
02-11 03:30|5021.04|5030.32|5021.04|5028.04
02-11 04:00|5027.55|5033.94|5020.28|5028.12
02-11 04:30|5028.17|5045.53|5027.24|5030.58
02-11 05:00|5030.47|5032.92|5023.07|5025.94
